word,question_prompt_pre,question_prompt_post,question_type,bin,choice1,choice2,choice3,choice4,choice5,num_item_id
baa baa (animal sound),The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,1
quack quack (animal sound),The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,8
ant,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,15
cat,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,22
elephant,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,29
kitty,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,36
penguin,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,43
teddybear,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,50
bicycle,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,57
sled,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,64
balloon,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,71
doll,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,78
puzzle,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,85
bread,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,92
cheese,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,99
cracker,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,106
grapes,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,113
jelly,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,120
noodles,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,127
pizza,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,134
pumpkin,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,141
spaghetti,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,148
yogurt,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,155
diaper,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,162
necklace,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,169
slipper,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,176
zipper,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,183
ear,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,190
head,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,197
penis,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,204
basket,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,211
bucket,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,218
fork,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,225
knife,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,232
napkin,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,239
purse,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,246
tissue/kleenex,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,253
watch (object),The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general,260
