word,question_prompt_pre,question_prompt_post,question_type,bin,choice1,choice2,choice3,choice4,choice5,num_item_id
grrr (sound),The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,4
woof woof (animal sound),The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,11
bird,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,18
deer,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,25
giraffe,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,32
monkey,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,39
puppy,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,46
turtle,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,53
car,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,60
train,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,67
book,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,74
pen,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,81
apple,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,88
candy,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,95
coffee,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,102
egg,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,109
hamburger,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,116
meat,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,123
pancake,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,130
potato chip,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,137
sandwich,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,144
tuna,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,151
bib,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,158
hat,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,165
scarf,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,172
sock,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,179
belly button,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,186
finger,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,193
lips,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,200
tongue,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,207
bowl,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,214
clock,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,221
glasses,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,228
medicine,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,235
picture,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,242
soap,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,249
trash,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,256
bathtub,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,263
crib,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,270
living room,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,277
room,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,284
TV,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,291
garden,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,298
rain,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,305
slide (object),The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,312
street,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,319
camping,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,326
home,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,333
playground,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,340
aunt,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,347
clown,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general,354
