word,pos,question_prompt_pre,question_prompt_post,question_type,bin,choice1,choice2,choice3,choice4,choice5
space,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
pieces,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
fire,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
lot,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
block,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
stamp,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
belly,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
tape,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
animals,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
game,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
corner,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
spell,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
shoes,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
eye,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
key,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
farm,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
tip,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
field,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
crunch,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
presents,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
bottle,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
circle,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
put,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
jump,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
show,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
cry,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
taking,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
set,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
likes,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
laughing,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
seen,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
neigh,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
pass,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
turned,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
swam,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
handle,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
takes,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
scream,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
flew,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
dressing,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
built,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
landed,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
tripped,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
yell,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
think,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
strawberry,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
milk,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
scissors,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
ducks,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
car,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
crocodile,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
peach,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
bulldozer,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
toast,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
babies,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
sister,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
man,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
steps,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
shirt,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
lights,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
snail,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
bum,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
tree,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
finger,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
swimming,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
fork,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
fingers,noun,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
means,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
chew,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
shoot,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
drove,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
whisper,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
stick,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
feed,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
pretending,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
tickling,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
baking,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
sleeps,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
mush,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
buckle,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
fix,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
finished,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
finish,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
call,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
riding,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
comb,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
welcome,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
tweet,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
picking,verb,The meaning, is... ,hypernymy,4,(1) Very specific/narrow,(2),(3),(4),(5) Very general
Five + 2 is seven,,,catch,5,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree,
The word blue has four letters,,,catch,5,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree,
Triangles have four sides,,,catch,1,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree,
An elephant is smaller than a mouse,,,catch,1,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree,
Four is larger than two,,,catch,5,(1) Strongly disagree,(2) Somewhat disagree,(3) Neither agreee nor disagree,(4) Somewhat agree,(5) Strongly agree,
