word,pos,question_prompt_pre,question_prompt_post,question_type,bin,choice1,choice2,choice3,choice4,choice5
way,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
past,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
toys,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
chips,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
blocks,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
meat,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
nips,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
bridge,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
doll,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
song,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
pool,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
cloud,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
hand,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
moo,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
boxes,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
seat,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
medicine,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
roof,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
person,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
magic,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
bath,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
bricks,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
see,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
hurt,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
crying,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
hear,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
falling,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
step,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
oink,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
flying,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
told,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
dressed,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
snowing,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
spilt,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
choose,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
peeping,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
laying,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
seeing,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
taken,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
scratching,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
burning,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
setting,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
crawling,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
carried,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
bang,verb,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
goat,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
horse,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
horses,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
straw,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
truck,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
dinosaur,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
biscuits,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
cup,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
sock,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
knife,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
cracker,noun,The meaning, is... ,hypernymy,5,(1) Very specific/narrow,(2),(3),(4),(5) Very general
