word,pos,question_prompt_pre,question_prompt_post,question_type,bin,choice1,choice2,choice3,choice4,choice5
piece,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
music,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
top,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
things,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
air,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
shape,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
body,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
time,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
party,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
animal,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
whistle,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
bark,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
floor,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
pardon,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
breakfast,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
pillow,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
machine,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
keys,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
supper,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
choc,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
feet,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
blanket,noun,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
come,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
push,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
putting,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
fly,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
dropped,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
jumping,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
drinking,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
pulling,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
check,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
living,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
digging,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
wish,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
rub,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
cleaned,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
beat,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
follow,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
tried,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
taked,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
rubbing,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
cracking,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
kissed,verb,The meaning, is... ,hypernymy,6,(1) Very specific/narrow,(2),(3),(4),(5) Very general
