word,pos,question_prompt_pre,question_prompt_post,question_type,bin,choice1,choice2,choice3,choice4,choice5
minute,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
beach,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
night,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
side,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
nap,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
record,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
beep,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
tower,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
men,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
end,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
octopus,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
cakes,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
eyes,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
puzzle,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
wall,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
pictures,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
mixer,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
purse,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
string,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
cough,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
window,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
trains,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
coming,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
pull,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
build,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
comes,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
listen,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
bought,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
lift,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
scratch,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
sweep,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
seal,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
kissing,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
played,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
sweeping,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
spank,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
send,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
walks,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
slipped,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
skipping,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
sent,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
stays,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
float,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
burnt,verb,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
cows,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
lemon,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
letter,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
lions,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
elephants,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
chocolate,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
jigsaw,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
jacket,noun,The meaning, is... ,hypernymy,8,(1) Very specific/narrow,(2),(3),(4),(5) Very general
