word,pos,question_prompt_pre,question_prompt_post,question_type,bin,choice1,choice2,choice3,choice4,choice5
driver,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
glass,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
name,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
ice,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
colors,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
shapes,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
drink,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
tail,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
vroom,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
stars,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
trouble,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
box,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
room,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
hands,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
triangle,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
potty,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
boot,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
shower,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
gas,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
train,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
foot,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
ladder,noun,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
fall,verb,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
meow,verb,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
stay,verb,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
came,verb,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
walking,verb,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
hurts,verb,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
racing,verb,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
saying,verb,The meaning, is... ,hypernymy,9,(1) Very specific/narrow,(2),(3),(4),(5) Very general
