word,pos,question_prompt_pre,question_prompt_post,question_type,bin,choice1,choice2,choice3,choice4,choice5
food,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
rest,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
table,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
teeth,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
place,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
stone,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
juice,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
money,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
sausage,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
sausages,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
tick,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
middle,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
shoe,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
cream,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
lunch,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
basket,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
cause,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
leaf,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
hay,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
pocketbook,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
dustbin,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
ring,noun,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
take,verb,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
said,verb,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
buy,verb,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
says,verb,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
swim,verb,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
smell,verb,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
fallen,verb,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
cleaning,verb,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
jumped,verb,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
helping,verb,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
grow,verb,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
carrying,verb,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
laugh,verb,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
shine,verb,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
seek,verb,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
sees,verb,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
dropping,verb,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
turns,verb,The meaning, is... ,hypernymy,7,(1) Very specific/narrow,(2),(3),(4),(5) Very general
